Unnamed: 0,core,time,section,face,ACorDC,AC_col_sp,DC_col_sp,DC_volt,note,mm_per_encode_step,num_tracks,ACDC_offset,laser_offset,Y_left,Y_right,AC_edgespace,DC_edgespace,idx1_raw,idx1_rel,idx2_rel,idx3_rel,idx_abs,xmin,xmax,header
41,ALHIC2201,2024-03-19-10-19,1_1,t,DC,10,25,1000,first dc attempt,0.25,12,332,-10,9.515078125,121.6218477,15,10,101.7359375,0,0,0,0,101.734375,852.1390625,22
42,ALHIC2201,2024-03-21-16-32,20_1,r,AC,10,25,1000,,0.25,5,305,-10,37.8539375,101.3742773,18,10,14.125,0,0,0,16.69,68.9671875,649.75625,22
43,ALHIC2201,2024-03-21-16-22,20_1,r,DC,10,25,1000,,0.25,7,305,-10,37.8539375,101.3742773,18,10,14.125,0,0,0,16.69,68.9671875,649.75625,22
44,ALHIC2201,2024-03-21-13-39,20_1,t,AC,10,25,1000,,0.25,7,305,-10,16.22772266,137.8619727,18,10,30.99375,0,0,0,16.69,70.7125,655.1609375,22
45,ALHIC2201,2024-03-21-13-28,20_1,t,DC,10,25,1000,,0.25,8,305,-10,16.22772266,137.8619727,18,10,30.99375,0,0,0,16.69,70.7125,655.1609375,22
46,ALHIC2201,2024-03-22-08-16,21_2,r,AC,10,25,1000,,0.25,5,305,-10,70.14666406,135.6945391,18,10,55.878125,0,0,0,17.65,68.7375,849.91875,22
47,ALHIC2201,2024-03-22-08-05,21_2,r,DC,10,25,1000,,0.25,7,305,-10,70.14666406,135.6945391,18,10,55.878125,0,0,0,17.65,68.7375,849.91875,22
48,ALHIC2201,2024-03-21-16-03,21_2,t,AC,10,25,1000,,0.25,7,305,-10,24.10469922,132.3359844,18,10,22.6046875,0,0,0,17.65,31.3,827.596875,22
49,ALHIC2201,2024-03-21-15-42,21_2,t,DC,10,25,1000,,0.25,12,305,-10,24.38846484,134.8829297,18,10,57.7125,0,0,0,17.65,80.3734375,861.0875,22
50,ALHIC2201,2024-03-22-10-07,22_1,r,AC,10,25,1000,,0.25,6,305,-10,69.9690625,136.5597266,18,10,9.078125,0,0,0,18.57,38.4484375,926.709375,22
51,ALHIC2201,2024-03-22-10-02,22_1,r,DC,10,25,1000,,0.25,7,305,-10,69.9690625,136.5597266,18,10,9.078125,0,0,0,18.52,38.4484375,926.709375,22
52,ALHIC2201,2024-03-22-09-52,22_1,r,DC,10,25,1000,,0.25,7,305,-10,69.9690625,136.5597266,18,10,9.078125,0,0,0,18.52,38.4484375,926.709375,22
53,ALHIC2201,2024-03-22-09-42,22_1,r,DC,10,25,1000,,0.25,7,305,-10,71.58732031,135.5506719,18,10,78.7140625,0,0,0,18.52,108.5328125,1001.289063,22
54,ALHIC2201,2024-03-22-08-41,22_1,t,AC,10,25,1000,,0.25,7,305,-10,24.72035156,140.8459766,18,10,19.56875,0,0,0,18.52,41.521875,948.78125,22
55,ALHIC2201,2024-03-22-08-28,22_1,t,DC,10,25,1000,,0.25,8,305,-10,24.72035156,140.8459766,18,10,19.56875,0,0,0,18.52,41.521875,948.78125,22
56,ALHIC2201,2024-03-22-10-31,23_1,r,AC,10,25,1000,,0.25,5,305,-10,40.17764062,104.2402109,18,10,22.5671875,0,0,0,19.47,47.8125,783.309375,22
57,ALHIC2201,2024-03-22-10-20,23_1,r,DC,10,25,1000,,0.25,7,305,-10,40.17764062,104.2402109,18,10,22.5671875,0,0,0,19.47,47.8125,783.309375,22
58,ALHIC2201,2024-03-22-09-24,23_1,t,AC,10,25,1000,,0.25,7,305,-10,15.6289375,134.5818008,18,10,47.878125,0,0,0,19.47,75.8125,823.053125,22
59,ALHIC2201,2024-03-22-09-14,23_1,t,DC,10,25,1000,,0.25,8,305,-10,15.6289375,134.5818008,18,10,47.878125,0,0,0,19.47,75.8125,823.053125,22
60,ALHIC2201,2024-03-22-13-33,24_1,r,AC,10,25,1000,,0.25,5,305,-10,73.5726875,134.7043359,18,10,35.1671875,0,0,0,20.29,55.8890625,902.86875,22
61,ALHIC2201,2024-03-22-13-22,24_1,r,DC,10,25,1000,,0.25,7,305,-10,73.5726875,134.7043359,18,10,35.1671875,0,0,0,20.29,55.8890625,902.86875,22
62,ALHIC2201,2024-03-22-11-14,24_1,t,AC,10,25,1000,,0.25,7,305,-10,21.96355859,137.9681367,18,10,41.6953125,0,0,0,20.29,59.8078125,867.9265625,22
63,ALHIC2201,2024-03-22-10-49,24_1,t,DC,10,25,1000,,0.25,12,305,-10,21.34344141,139.620625,18,10,41.396875,0,0,0,20.29,72.5046875,910.45,22
64,ALHIC2201,2024-03-22-11-01,24_1,t,DC,10,25,1000,,0.25,8,305,-10,21.34344141,139.620625,18,10,41.396875,0,0,0,20.29,72.5046875,910.45,22
65,ALHIC2201,2024-03-22-13-58,25_1,r,AC,10,25,1000,,0.25,5,305,-10,38.75782031,104.0943594,18,10,0,0,0,0,21.28,45.4359375,798.209375,22
66,ALHIC2201,2024-03-22-13-48,25_1,r,DC,10,25,1000,,0.25,7,305,-10,38.75782031,104.0943594,18,10,0,0,0,0,21.28,45.4359375,798.209375,22
